Query,Document,Doc-Length,Ranking,Span,Min-Span,Normalized-Span,Normalized-Min-Span,Min-Distance,Ave-Distance,Max-Distance
NTCIR12-MathWiki-1,1s_Slater-type_function.html,3316,RELEVANT,1234,1,102.83333333333333,0.5,1,482.0571428571429,1234
NTCIR12-MathWiki-1,Adiabatic_theorem.html,12329,RELEVANT,709,1,177.25,0.5,1,425.3333333333333,709
NTCIR12-MathWiki-1,Adjoint_equation.html,323,RELEVANT,1,1,0.5,0.5,1,1.0,1
NTCIR12-MathWiki-1,Alternatives_to_general_relativity.html,23759,RELEVANT,11050,5,1841.6666666666667,2.5,5,3712.5555555555557,5808
NTCIR12-MathWiki-1,Arakawa–Kaneko_zeta_function.html,1229,RELEVANT,39,1,9.75,0.5,1,19.5,39
NTCIR12-MathWiki-1,Bring_radical.html,22353,RELEVANT,3131,2959,447.2857142857143,986.3333333333334,1,1671.090909090909,3131
NTCIR12-MathWiki-1,Chowla–Mordell_theorem.html,223,RELEVANT,36,36,12.0,12.0,1,24.0,36
NTCIR12-MathWiki-1,Clifford_analysis.html,6694,RELEVANT,514,22,57.111111111111114,11.0,22,213.22222222222223,514
NTCIR12-MathWiki-1,Cubic_function.html,18160,RELEVANT,1,1,0.5,0.5,1,1.0,1
NTCIR12-MathWiki-1,Decoherence-free_subspaces.html,7270,RELEVANT,209,1,14.928571428571429,0.5,1,78.6734693877551,209
NTCIR12-MathWiki-1,Dimensionless_quantity.html,10751,RELEVANT,1176,1176,392.0,392.0,1,784.0,1176
NTCIR12-MathWiki-1,Dirichlet_eta_function.html,11534,RELEVANT,1,1,0.5,0.5,1,1.0,1
NTCIR12-MathWiki-1,Electrofiltration.html,1013,PARTIALLY RELEVANT,1,1,0.5,0.5,1,1.0,1
NTCIR12-MathWiki-1,Equatorial_coordinate_system.html,2346,RELEVANT,1029,497,102.9,165.66666666666666,1,599.060606060606,1029
NTCIR12-MathWiki-1,Euler–Maclaurin_formula.html,10415,NOT RELEVANT,1,1,0.5,0.5,1,1.0,1
NTCIR12-MathWiki-1,Factorial.html,12965,RELEVANT,2068,2068,689.3333333333334,689.3333333333334,1,1378.6666666666667,2068
NTCIR12-MathWiki-1,Froude_number.html,3855,PARTIALLY RELEVANT,20,1,5.0,0.5,1,7.0,14
NTCIR12-MathWiki-1,Greek_numerals.html,2327,RELEVANT,1371,215,137.1,107.5,215,496.5,1009
NTCIR12-MathWiki-1,Green's_function_(many-body_theory).html,16451,RELEVANT,3131,1,521.8333333333334,0.5,1,785.0,3123
NTCIR12-MathWiki-1,Hamiltonian_constraint.html,9198,PARTIALLY RELEVANT,1,1,0.5,0.5,1,1.0,1
NTCIR12-MathWiki-1,Hamiltonian_constraint_of_LQG.html,18870,PARTIALLY RELEVANT,1,1,0.5,0.5,1,1.0,1
NTCIR12-MathWiki-1,Harmonic_oscillator.html,10619,RELEVANT,889,1,127.0,0.5,1,257.7,726
NTCIR12-MathWiki-1,Hodge_dual.html,12478,RELEVANT,3092,1780,193.25,593.3333333333334,1,1468.5573770491803,3092
NTCIR12-MathWiki-1,Holomorphic_functional_calculus.html,10727,RELEVANT,3636,46,90.9,23.0,46,906.3846153846154,2528
NTCIR12-MathWiki-1,Jerk_(physics).html,4005,RELEVANT,1631,1631,543.6666666666666,543.6666666666666,1,1087.3333333333333,1631
NTCIR12-MathWiki-1,Joukowsky_transform.html,3351,RELEVANT,1468,1,56.46153846153846,0.5,1,681.5333333333333,1467
NTCIR12-MathWiki-1,Kummer_ring.html,495,RELEVANT,125,6,31.25,3.0,6,43.666666666666664,105
NTCIR12-MathWiki-1,Langmuir_probe.html,12867,PARTIALLY RELEVANT,134,1,19.142857142857142,0.5,1,43.25,133
NTCIR12-MathWiki-1,Lattice_problem.html,3743,RELEVANT,49,1,12.25,0.5,1,24.5,49
NTCIR12-MathWiki-1,Least_squares_support_vector_machine.html,11687,PARTIALLY RELEVANT,3574,1,274.9230769230769,0.5,1,1389.2222222222222,2950
NTCIR12-MathWiki-1,Levi-Civita_symbol.html,15247,NOT RELEVANT,6776,303,150.57777777777778,151.5,303,4479.587301587301,6473
NTCIR12-MathWiki-1,Light_front_quantization.html,14671,PARTIALLY RELEVANT,7564,7564,2521.3333333333335,2521.3333333333335,1,5042.666666666667,7564
NTCIR12-MathWiki-1,List_of_common_physics_notations.html,1180,RELEVANT,945,71,189.0,23.666666666666668,1,290.2857142857143,748
NTCIR12-MathWiki-1,Mahler_measure.html,4817,PARTIALLY RELEVANT,1,1,0.5,0.5,1,1.0,1
NTCIR12-MathWiki-1,Maxwell's_equations_in_curved_spacetime.html,19084,PARTIALLY RELEVANT,4159,104,277.26666666666665,52.0,104,1667.5,4159
NTCIR12-MathWiki-1,Mild-slope_equation.html,10571,RELEVANT,2023,1,202.3,0.5,1,619.5,2022
NTCIR12-MathWiki-1,Minimum_spanning_tree.html,3024,RELEVANT,938,938,312.6666666666667,312.6666666666667,1,625.3333333333334,938
NTCIR12-MathWiki-1,Monin–Obukhov_similarity_theory.html,3328,RELEVANT,809,1,47.588235294117645,0.5,1,342.375,808
NTCIR12-MathWiki-1,Motion_simulator.html,5555,PARTIALLY RELEVANT,22,1,5.5,0.5,1,11.0,22
NTCIR12-MathWiki-1,Multiple_zeta_function.html,22181,PARTIALLY RELEVANT,1,1,0.5,0.5,1,1.0,1
NTCIR12-MathWiki-1,Nahm_equations.html,1867,PARTIALLY RELEVANT,503,471,125.75,235.5,471,485.6666666666667,503
NTCIR12-MathWiki-1,Natural_logarithm_of_2.html,8461,RELEVANT,1,1,0.5,0.5,1,1.0,1
