Query,Document,Doc-Length,Ranking,Span,Min-Span,Normalized-Span,Normalized-Min-Span,Min-Distance,Ave-Distance,Max-Distance
NTCIR12-MathWiki-1,1s_Slater-type_function.html,3316,RELEVANT,1234,1,102.83333333333333,0.5,1,482.0571428571429,1234
NTCIR12-MathWiki-1,Adiabatic_theorem.html,12329,RELEVANT,709,1,177.25,0.5,1,425.3333333333333,709
NTCIR12-MathWiki-1,Adjoint_equation.html,323,RELEVANT,1,1,0.5,0.5,1,1.0,1
NTCIR12-MathWiki-1,Arakawa–Kaneko_zeta_function.html,1229,RELEVANT,39,1,9.75,0.5,1,19.5,39
NTCIR12-MathWiki-1,Bring_radical.html,22353,RELEVANT,223,1,37.166666666666664,0.5,1,76.0,172
NTCIR12-MathWiki-1,Chowla–Mordell_theorem.html,223,RELEVANT,1,1,0.5,0.5,1,1.0,1
NTCIR12-MathWiki-1,Cubic_function.html,18160,RELEVANT,1,1,0.5,0.5,1,1.0,1
NTCIR12-MathWiki-1,Decoherence-free_subspaces.html,7270,RELEVANT,209,1,14.928571428571429,0.5,1,78.6734693877551,209
NTCIR12-MathWiki-1,Dimensionless_quantity.html,10751,RELEVANT,1,1,0.5,0.5,1,1.0,1
NTCIR12-MathWiki-1,Dirichlet_eta_function.html,11534,RELEVANT,1,1,0.5,0.5,1,1.0,1
NTCIR12-MathWiki-1,Electrofiltration.html,1013,PARTIALLY RELEVANT,1,1,0.5,0.5,1,1.0,1
NTCIR12-MathWiki-1,Equatorial_coordinate_system.html,2346,RELEVANT,479,1,68.42857142857143,0.5,1,209.58333333333334,479
NTCIR12-MathWiki-1,Euler–Maclaurin_formula.html,10415,NOT RELEVANT,1,1,0.5,0.5,1,1.0,1
NTCIR12-MathWiki-1,Factorial.html,12965,RELEVANT,1,1,0.5,0.5,1,1.0,1
NTCIR12-MathWiki-1,Froude_number.html,3855,PARTIALLY RELEVANT,20,1,5.0,0.5,1,7.0,14
NTCIR12-MathWiki-1,Green's_function_(many-body_theory).html,16451,RELEVANT,3131,1,521.8333333333334,0.5,1,785.0,3123
NTCIR12-MathWiki-1,Hamiltonian_constraint.html,9198,PARTIALLY RELEVANT,1,1,0.5,0.5,1,1.0,1
NTCIR12-MathWiki-1,Hamiltonian_constraint_of_LQG.html,18870,PARTIALLY RELEVANT,1,1,0.5,0.5,1,1.0,1
NTCIR12-MathWiki-1,Harmonic_oscillator.html,10619,RELEVANT,889,1,127.0,0.5,1,257.7,726
NTCIR12-MathWiki-1,Hodge_dual.html,12478,RELEVANT,1096,1,78.28571428571429,0.5,1,464.24242424242425,1096
NTCIR12-MathWiki-1,Jerk_(physics).html,4005,RELEVANT,1,1,0.5,0.5,1,1.0,1
NTCIR12-MathWiki-1,Joukowsky_transform.html,3351,RELEVANT,1468,1,56.46153846153846,0.5,1,681.5333333333333,1467
NTCIR12-MathWiki-1,Langmuir_probe.html,12867,PARTIALLY RELEVANT,134,1,19.142857142857142,0.5,1,43.25,133
NTCIR12-MathWiki-1,Lattice_problem.html,3743,RELEVANT,49,1,12.25,0.5,1,24.5,49
NTCIR12-MathWiki-1,Least_squares_support_vector_machine.html,11687,PARTIALLY RELEVANT,3574,1,274.9230769230769,0.5,1,1389.2222222222222,2950
NTCIR12-MathWiki-1,Light_front_quantization.html,14671,PARTIALLY RELEVANT,1,1,0.5,0.5,1,1.0,1
NTCIR12-MathWiki-1,List_of_common_physics_notations.html,1180,RELEVANT,1,1,0.5,0.5,1,1.0,1
NTCIR12-MathWiki-1,Mahler_measure.html,4817,PARTIALLY RELEVANT,1,1,0.5,0.5,1,1.0,1
NTCIR12-MathWiki-1,Mild-slope_equation.html,10571,RELEVANT,2023,1,202.3,0.5,1,619.5,2022
NTCIR12-MathWiki-1,Minimum_spanning_tree.html,3024,RELEVANT,1,1,0.5,0.5,1,1.0,1
NTCIR12-MathWiki-1,Monin–Obukhov_similarity_theory.html,3328,RELEVANT,809,1,47.588235294117645,0.5,1,342.375,808
NTCIR12-MathWiki-1,Motion_simulator.html,5555,PARTIALLY RELEVANT,22,1,5.5,0.5,1,11.0,22
NTCIR12-MathWiki-1,Multiple_zeta_function.html,22181,PARTIALLY RELEVANT,1,1,0.5,0.5,1,1.0,1
NTCIR12-MathWiki-1,Natural_logarithm_of_2.html,8461,RELEVANT,1,1,0.5,0.5,1,1.0,1
NTCIR12-MathWiki-1,Oblate_spheroidal_coordinates.html,9788,RELEVANT,1503,1,88.41176470588235,0.5,1,735.3666666666667,1503
NTCIR12-MathWiki-1,P-adic_quantum_mechanics.html,5497,RELEVANT,1,1,0.5,0.5,1,1.0,1
NTCIR12-MathWiki-1,Parameterized_post-Newtonian_formalism.html,8969,RELEVANT,320,1,80.0,0.5,1,208.33333333333334,320
NTCIR12-MathWiki-1,Phase-locked_loop.html,10144,PARTIALLY RELEVANT,473,1,157.66666666666666,0.5,1,237.0,473
NTCIR12-MathWiki-1,Propellant_mass_fraction.html,934,RELEVANT,1,1,0.5,0.5,1,1.0,1
NTCIR12-MathWiki-1,Quantum_heat_engines_and_refrigerators.html,6363,PARTIALLY RELEVANT,82,1,16.4,0.5,1,40.833333333333336,82
NTCIR12-MathWiki-1,RLC_circuit.html,11096,RELEVANT,87,1,14.5,0.5,1,38.55555555555556,87
NTCIR12-MathWiki-1,Routhian_mechanics.html,23703,RELEVANT,1628,1,81.4,0.5,1,583.28125,1498
NTCIR12-MathWiki-1,Sallen–Key_topology.html,9232,RELEVANT,2036,1,407.2,0.5,1,937.0,2036
NTCIR12-MathWiki-1,Schwarz–Christoffel_mapping.html,1576,RELEVANT,488,1,32.53333333333333,0.5,1,199.96153846153845,462
