Query,Document,Doc-Length,Ranking,Span,Min-Span,Normalized-Span,Normalized-Min-Span,Min-Distance,Ave-Distance,Max-Distance
NTCIR12-MathWiki-5,Abuse_of_notation.html,6343,NOT RELEVANT,6288,1,93.85074626865672,0.5,1,2694.24358974359,6225
NTCIR12-MathWiki-5,Associated_Legendre_polynomials.html,18309,NOT RELEVANT,15552,1052,1944.0,526.0,1052,9959.666666666666,15552
NTCIR12-MathWiki-5,Beta_distribution.html,77239,PARTIALLY RELEVANT,70404,301,2933.5,150.5,301,26545.157894736843,70033
NTCIR12-MathWiki-5,Big_O_in_probability_notation.html,1364,PARTIALLY RELEVANT,1329,87,132.9,43.5,87,241.55555555555554,1183
NTCIR12-MathWiki-5,Big_O_notation.html,15177,NOT RELEVANT,15023,1,143.07619047619048,0.5,1,5913.698996655518,14844
NTCIR12-MathWiki-5,Binomial_transform.html,5581,PARTIALLY RELEVANT,4360,326,622.8571428571429,163.0,326,1861.6666666666667,4034
NTCIR12-MathWiki-5,Biquandle.html,3171,NOT RELEVANT,2782,116,347.75,58.0,116,913.3333333333334,2782
NTCIR12-MathWiki-5,BKL_singularity.html,35660,NOT RELEVANT,34952,874,2496.5714285714284,437.0,874,11454.0,18083
NTCIR12-MathWiki-5,Bouc–Wen_model_of_hysteresis.html,4559,PARTIALLY RELEVANT,884,186,176.8,93.0,186,539.5,884
NTCIR12-MathWiki-5,Cartesian_tensor.html,31364,NOT RELEVANT,30545,13,872.7142857142857,6.5,13,14544.902777777777,27721
NTCIR12-MathWiki-5,Christoffel_symbols.html,7804,NOT RELEVANT,7363,5,460.1875,2.5,5,2119.8333333333335,7363
NTCIR12-MathWiki-5,Confluent_hypergeometric_function.html,12502,RELEVANT,11267,64,1251.888888888889,32.0,64,4219.0,11267
NTCIR12-MathWiki-5,Congruence_(general_relativity).html,6499,NOT RELEVANT,6028,78,1205.6,39.0,78,2329.0,6028
NTCIR12-MathWiki-5,Covariant_derivative.html,13217,NOT RELEVANT,13104,51,436.8,25.5,51,7457.444444444444,13053
NTCIR12-MathWiki-5,Coxeter_notation.html,8821,NOT RELEVANT,8313,5,173.1875,2.5,5,3568.6904176904177,8313
NTCIR12-MathWiki-5,De_Bruijn_notation.html,1715,NOT RELEVANT,1689,1,112.6,0.5,1,809.3571428571429,1456
