Query,Document,Doc-Length,Ranking,Span,Min-Span,Normalized-Span,Normalized-Min-Span,Min-Distance,Ave-Distance,Max-Distance
NTCIR12-MathWiki-5,Abuse_of_notation.html,6343,NOT RELEVANT,0.9913290241210784,0.00015765410688948448,0.014795955583896693,7.882705344474224e-05,0.00015765410688948448,0.42475856688374425,0.9813968153870408
NTCIR12-MathWiki-5,Associated_Legendre_polynomials.html,18309,NOT RELEVANT,0.8494183188595773,0.05745808072532634,0.10617728985744716,0.02872904036266317,0.05745808072532634,0.5439765506945582,0.8494183188595773
NTCIR12-MathWiki-5,Beta_distribution.html,77239,PARTIALLY RELEVANT,0.911508434858038,0.0038969950413651135,0.03797951811908492,0.0019484975206825567,0.0038969950413651135,0.3436755770366893,0.9067051619000764
NTCIR12-MathWiki-5,Big_O_in_probability_notation.html,1364,PARTIALLY RELEVANT,0.9743401759530792,0.06378299120234604,0.09743401759530793,0.03189149560117302,0.06378299120234604,0.1770935158031932,0.8673020527859238
NTCIR12-MathWiki-5,Big_O_notation.html,15177,NOT RELEVANT,0.9898530671410687,6.588917440864466e-05,0.009427172068010178,3.294458720432233e-05,6.588917440864466e-05,0.3896487445908624,0.9780589049219214
NTCIR12-MathWiki-5,Binomial_transform.html,5581,PARTIALLY RELEVANT,0.7812220032252285,0.05841247088335424,0.11160314331788979,0.02920623544167712,0.05841247088335424,0.33357223914471723,0.7228095323418742
NTCIR12-MathWiki-5,Biquandle.html,3171,NOT RELEVANT,0.8773257647429833,0.03658152002522864,0.10966572059287291,0.01829076001261432,0.03658152002522864,0.28802691054346685,0.8773257647429833
NTCIR12-MathWiki-5,BKL_singularity.html,35660,NOT RELEVANT,0.9801458216489063,0.024509254066180593,0.07001041583206473,0.012254627033090297,0.024509254066180593,0.3212002243409983,0.5070947840717891
NTCIR12-MathWiki-5,Bouc–Wen_model_of_hysteresis.html,4559,PARTIALLY RELEVANT,0.19390217152884404,0.04079842070629524,0.03878043430576881,0.02039921035314762,0.04079842070629524,0.11833735468304453,0.19390217152884404
NTCIR12-MathWiki-5,Cartesian_tensor.html,31364,NOT RELEVANT,0.9738872592781533,0.0004144879479658207,0.02782535026509009,0.00020724397398291035,0.0004144879479658207,0.46374514659411353,0.883847723504655
NTCIR12-MathWiki-5,Christoffel_symbols.html,7804,NOT RELEVANT,0.9434905176832393,0.0006406970784213224,0.05896815735520246,0.0003203485392106612,0.0006406970784213224,0.27163420468136,0.9434905176832393
NTCIR12-MathWiki-5,Confluent_hypergeometric_function.html,12502,RELEVANT,0.9012158054711246,0.0051191809310510315,0.10013508949679163,0.0025595904655255157,0.0051191809310510315,0.33746600543912975,0.9012158054711246
NTCIR12-MathWiki-5,Congruence_(general_relativity).html,6499,NOT RELEVANT,0.9275273118941375,0.012001846437913525,0.1855054623788275,0.0060009232189567625,0.012001846437913525,0.3583628250500077,0.9275273118941375
NTCIR12-MathWiki-5,Covariant_derivative.html,13217,NOT RELEVANT,0.9914504047817205,0.0038586668684270258,0.033048346826057354,0.0019293334342135129,0.0038586668684270258,0.5642312509982934,0.9875917379132935
NTCIR12-MathWiki-5,Coxeter_notation.html,8821,NOT RELEVANT,0.9424101575785059,0.0005668291576918716,0.019633544949552204,0.0002834145788459358,0.0005668291576918716,0.4045675567045026,0.9424101575785059
NTCIR12-MathWiki-5,De_Bruijn_notation.html,1715,NOT RELEVANT,0.9848396501457726,0.0005830903790087463,0.06565597667638484,0.0002915451895043732,0.0005830903790087463,0.47192836318200754,0.8489795918367347
NTCIR12-MathWiki-5,Dini_derivative.html,1355,NOT RELEVANT,0.844280442804428,0.18228782287822878,0.14071340713407132,0.09114391143911439,0.18228782287822878,0.4782287822878229,0.844280442804428
NTCIR12-MathWiki-5,Einstein_field_equations.html,10288,PARTIALLY RELEVANT,0.8665435458786936,0.42641912908242613,0.2166358864696734,0.21320956454121306,0.42641912908242613,0.4309875583203733,0.4338063763608087
