Query,Document,Doc-Length,Ranking,Span,Min-Span,Normalized-Span,Normalized-Min-Span,Min-Distance,Ave-Distance,Max-Distance
NTCIR12-MathWiki-1,1s_Slater-type_function.html,3316,RELEVANT,239,0,19.916666666666668,0.0,0,81.88571428571429,239
NTCIR12-MathWiki-1,Adiabatic_theorem.html,12329,RELEVANT,120,0,30.0,0.0,0,66.33333333333333,120
NTCIR12-MathWiki-1,Adjoint_equation.html,323,RELEVANT,0,0,0.0,0.0,0,0.0,0
NTCIR12-MathWiki-1,Alternatives_to_general_relativity.html,23759,RELEVANT,4180,5,696.6666666666666,2.5,5,1396.3333333333333,2310
NTCIR12-MathWiki-1,Arakawa–Kaneko_zeta_function.html,1229,RELEVANT,10,0,2.5,0.0,0,5.0,10
NTCIR12-MathWiki-1,Bring_radical.html,22353,RELEVANT,648,641,92.57142857142857,213.66666666666666,0,351.8181818181818,648
NTCIR12-MathWiki-1,Chowla–Mordell_theorem.html,223,RELEVANT,14,14,4.666666666666667,4.666666666666667,0,9.333333333333334,14
NTCIR12-MathWiki-1,Clifford_analysis.html,6694,RELEVANT,92,2,10.222222222222221,1.0,2,38.77777777777778,92
NTCIR12-MathWiki-1,Cubic_function.html,18160,RELEVANT,0,0,0.0,0.0,0,0.0,0
NTCIR12-MathWiki-1,Decoherence-free_subspaces.html,7270,RELEVANT,65,0,4.642857142857143,0.0,0,23.428571428571427,65
NTCIR12-MathWiki-1,Dimensionless_quantity.html,10751,RELEVANT,337,337,112.33333333333333,112.33333333333333,0,224.66666666666666,337
NTCIR12-MathWiki-1,Dirichlet_eta_function.html,11534,RELEVANT,0,0,0.0,0.0,0,0.0,0
NTCIR12-MathWiki-1,Electrofiltration.html,1013,PARTIALLY RELEVANT,0,0,0.0,0.0,0,0.0,0
NTCIR12-MathWiki-1,Equatorial_coordinate_system.html,2346,RELEVANT,553,323,55.3,107.66666666666667,0,311.57575757575756,553
NTCIR12-MathWiki-1,Euler–Maclaurin_formula.html,10415,NOT RELEVANT,0,0,0.0,0.0,0,0.0,0
NTCIR12-MathWiki-1,Factorial.html,12965,RELEVANT,654,654,218.0,218.0,0,436.0,654
NTCIR12-MathWiki-1,Froude_number.html,3855,PARTIALLY RELEVANT,7,0,1.75,0.0,0,2.3333333333333335,5
NTCIR12-MathWiki-1,Greek_numerals.html,2327,RELEVANT,894,60,89.4,30.0,60,272.5,710
NTCIR12-MathWiki-1,Green's_function_(many-body_theory).html,16451,RELEVANT,376,0,62.666666666666664,0.0,0,93.4,372
NTCIR12-MathWiki-1,Hamiltonian_constraint.html,9198,PARTIALLY RELEVANT,0,0,0.0,0.0,0,0.0,0
NTCIR12-MathWiki-1,Hamiltonian_constraint_of_LQG.html,18870,PARTIALLY RELEVANT,0,0,0.0,0.0,0,0.0,0
NTCIR12-MathWiki-1,Harmonic_oscillator.html,10619,RELEVANT,228,0,32.57142857142857,0.0,0,67.0,210
NTCIR12-MathWiki-1,Hodge_dual.html,12478,RELEVANT,604,279,37.75,93.0,0,293.91803278688525,604
NTCIR12-MathWiki-1,Holomorphic_functional_calculus.html,10727,RELEVANT,944,4,23.6,2.0,4,198.64102564102564,842
NTCIR12-MathWiki-1,Jerk_(physics).html,4005,RELEVANT,1114,1114,371.3333333333333,371.3333333333333,0,742.6666666666666,1114
NTCIR12-MathWiki-1,Joukowsky_transform.html,3351,RELEVANT,388,0,14.923076923076923,0.0,0,165.06666666666666,388
NTCIR12-MathWiki-1,Kummer_ring.html,495,RELEVANT,36,1,9.0,0.5,1,12.333333333333334,26
NTCIR12-MathWiki-1,Langmuir_probe.html,12867,PARTIALLY RELEVANT,46,0,6.571428571428571,0.0,0,17.0,46
NTCIR12-MathWiki-1,Lattice_problem.html,3743,RELEVANT,15,0,3.75,0.0,0,7.5,15
NTCIR12-MathWiki-1,Least_squares_support_vector_machine.html,11687,PARTIALLY RELEVANT,458,0,35.23076923076923,0.0,0,190.02777777777777,408
NTCIR12-MathWiki-1,Levi-Civita_symbol.html,15247,NOT RELEVANT,1335,78,29.666666666666668,39.0,78,793.9126984126984,1197
