Query,Document,Doc-Length,Ranking,Span,Min-Span,Normalized-Span,Normalized-Min-Span,Min-Distance,Ave-Distance,Max-Distance
NTCIR12-MathWiki-1,1s_Slater-type_function.html,3316,RELEVANT,0.07207478890229192,0.0,0.006006232408524327,0.0,0.0,0.024694123729105635,0.07207478890229192
NTCIR12-MathWiki-1,Adiabatic_theorem.html,12329,RELEVANT,0.009733149484954172,0.0,0.002433287371238543,0.0,0.0,0.00538026874307189,0.009733149484954172
NTCIR12-MathWiki-1,Adjoint_equation.html,323,RELEVANT,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NTCIR12-MathWiki-1,Alternatives_to_general_relativity.html,23759,RELEVANT,0.1759333305273791,0.00021044656761648217,0.029322221754563182,0.00010522328380824109,0.00021044656761648217,0.058770711449696256,0.09722631423881477
NTCIR12-MathWiki-1,Arakawa–Kaneko_zeta_function.html,1229,RELEVANT,0.008136696501220505,0.0,0.0020341741253051262,0.0,0.0,0.0040683482506102524,0.008136696501220505
NTCIR12-MathWiki-1,Bring_radical.html,22353,RELEVANT,0.02898939739632264,0.028676240325683354,0.004141342485188949,0.009558746775227785,0.0,0.01573919303083174,0.02898939739632264
NTCIR12-MathWiki-1,Chowla–Mordell_theorem.html,223,RELEVANT,0.06278026905829596,0.06278026905829596,0.02092675635276532,0.02092675635276532,0.0,0.04185351270553064,0.06278026905829596
NTCIR12-MathWiki-1,Clifford_analysis.html,6694,RELEVANT,0.013743651030773827,0.00029877502240812666,0.0015270723367526474,0.00014938751120406333,0.00029877502240812666,0.005792915712246456,0.013743651030773827
NTCIR12-MathWiki-1,Cubic_function.html,18160,RELEVANT,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NTCIR12-MathWiki-1,Decoherence-free_subspaces.html,7270,RELEVANT,0.008940852819807428,0.0,0.0006386323442719592,0.0,0.0,0.0032226370603261937,0.008940852819807428
NTCIR12-MathWiki-1,Dimensionless_quantity.html,10751,RELEVANT,0.031345921309645614,0.031345921309645614,0.010448640436548537,0.010448640436548537,0.0,0.020897280873097075,0.031345921309645614
NTCIR12-MathWiki-1,Dirichlet_eta_function.html,11534,RELEVANT,0.0,0.0,0.0,0.0,0.0,0.0,0.0
